iteration,numProc,time,id
1,16,5660158,15
1,16,5706944,11
1,16,5823139,9
1,16,5839938,10
1,16,5843763,7
1,16,6068153,6
1,16,6094191,13
1,16,6118633,5
1,16,6129361,8
1,16,6148445,3
1,16,6218742,14
1,16,6354083,1
1,16,6371892,2
1,16,6515149,4
1,16,6825646,12
1,16,6875516,0
1,16,5532592,11
1,16,5594557,15
1,16,5793814,9
1,16,5921173,7
1,16,5967224,13
1,16,6021593,3
1,16,6102420,5
1,16,6118914,1
1,16,6279875,2
1,16,6280991,8
1,16,6337761,0
1,16,6393483,6
1,16,6490663,4
1,16,6641692,10
1,16,6769438,14
1,16,7152208,12
1,16,5496804,15
1,16,5576972,11
1,16,5676832,9
1,16,5914109,7
1,16,6022642,0
1,16,6030987,6
1,16,6053964,3
1,16,6065091,5
1,16,6152877,13
1,16,6159091,2
1,16,6168421,1
1,16,6279643,8
1,16,6309755,4
1,16,6392044,14
1,16,6521588,10
1,16,6906143,12
1,16,5517851,15
1,16,5712931,9
1,16,5731850,11
1,16,5899946,7
1,16,6007235,13
1,16,6132424,10
1,16,6156317,5
1,16,6163426,8
1,16,6203837,3
1,16,6246390,1
1,16,6392942,6
1,16,6455506,14
1,16,6519805,2
1,16,6520036,0
1,16,6722166,4
1,16,7329795,12
1,16,5576715,15
1,16,5623700,9
1,16,5668025,11
1,16,6055548,5
1,16,6077457,0
1,16,6083847,1
1,16,6144423,7
1,16,6199513,3
1,16,6268226,13
1,16,6277522,8
1,16,6321311,6
1,16,6325504,2
1,16,6360310,14
1,16,6446828,4
1,16,6514821,10
1,16,6717994,12
1,16,5553979,15
1,16,5658288,11
1,16,5778881,8
1,16,5975112,10
1,16,6044252,4
1,16,6096826,6
1,16,6164652,9
1,16,6186786,5
1,16,6212490,7
1,16,6244305,3
1,16,6279337,12
1,16,6331532,2
1,16,6370598,13
1,16,6403482,14
1,16,6496413,1
1,16,6890402,0
1,16,5539272,9
1,16,5567658,15
1,16,5595395,11
1,16,5858185,7
1,16,5980115,13
1,16,5981175,5
1,16,6001496,8
1,16,6050068,1
1,16,6063673,10
1,16,6106373,2
1,16,6129115,3
1,16,6192652,0
1,16,6289391,4
1,16,6477352,6
1,16,6564011,14
1,16,7359780,12
1,16,5534246,9
1,16,5537149,0
1,16,5658746,10
1,16,5837085,11
1,16,5855759,7
1,16,5861004,14
1,16,5955819,15
1,16,6012756,1
1,16,6165511,5
1,16,6238645,3
1,16,6239862,13
1,16,6302207,8
1,16,6493028,6
1,16,6528245,2
1,16,6572028,12
1,16,7127557,4
1,16,5705594,9
1,16,5751920,15
1,16,5787835,8
1,16,5913233,7
1,16,5990881,11
1,16,6103532,13
1,16,6122244,14
1,16,6262358,0
1,16,6283278,4
1,16,6295597,1
1,16,6415575,3
1,16,6469354,10
1,16,6481115,5
1,16,6532674,2
1,16,6678898,6
1,16,6861033,12
1,16,5700445,11
1,16,5769687,15
1,16,5833676,9
1,16,5842445,10
1,16,5881944,4
1,16,6033452,13
1,16,6069326,2
1,16,6179369,6
1,16,6243479,8
1,16,6329581,5
1,16,6344066,3
1,16,6360327,7
1,16,6391173,1
1,16,6456712,0
1,16,6517306,14
1,16,6728508,12
1,16,5623977,11
1,16,5629315,15
1,16,5693302,9
1,16,5864482,7
1,16,6004344,5
1,16,6057284,13
1,16,6096516,3
1,16,6167133,10
1,16,6206532,1
1,16,6273558,0
1,16,6398425,2
1,16,6482409,4
1,16,6502855,8
1,16,6799164,6
1,16,6930867,12
1,16,7124704,14
1,16,5575605,15
1,16,5679348,0
1,16,5730188,2
1,16,5749601,9
1,16,5834344,11
1,16,5987025,5
1,16,6059491,7
1,16,6098293,3
1,16,6106942,6
1,16,6170238,8
1,16,6287765,1
1,16,6355734,10
1,16,6417512,4
1,16,6590849,13
1,16,6673574,12
1,16,6776993,14
1,16,5496690,15
1,16,5538854,9
1,16,5633183,11
1,16,5736186,7
1,16,6013555,13
1,16,6050035,5
1,16,6107128,1
1,16,6107129,3
1,16,6244452,0
1,16,6376619,8
1,16,6390887,14
1,16,6444542,6
1,16,6562928,2
1,16,6596772,10
1,16,6603058,4
1,16,7302752,12
1,16,5488720,15
1,16,5679341,9
1,16,5753931,8
1,16,5791587,7
1,16,5827188,2
1,16,5858054,11
1,16,5940355,10
1,16,5970382,14
1,16,6109346,5
1,16,6136662,13
1,16,6225735,0
1,16,6265584,1
1,16,6507301,3
1,16,6591006,4
1,16,6857727,6
1,16,7041155,12
1,16,5643774,9
1,16,5707363,11
1,16,5719184,15
1,16,5903778,7
1,16,5908096,2
1,16,5962198,13
1,16,5969392,0
1,16,6186409,14
1,16,6200806,5
1,16,6324610,3
1,16,6334586,1
1,16,6351062,6
1,16,6413454,4
1,16,6420294,10
1,16,6835457,8
1,16,6837680,12
1,16,5455650,15
1,16,5641635,9
1,16,5644169,11
1,16,5695824,7
1,16,5889161,5
1,16,6136838,1
1,16,6147882,13
1,16,6267249,0
1,16,6267707,14
1,16,6297838,3
1,16,6325134,4
1,16,6375801,6
1,16,6512136,10
1,16,6629955,8
1,16,6648486,2
1,16,6971456,12
1,16,5464564,15
1,16,5578496,11
1,16,5669730,9
1,16,5773709,7
1,16,5964303,14
1,16,5992132,5
1,16,6009032,13
1,16,6092155,1
1,16,6105944,3
1,16,6241300,10
1,16,6351448,2
1,16,6487970,6
1,16,6669462,8
1,16,6699445,4
1,16,6833064,0
1,16,6877097,12
1,16,5479581,15
1,16,5587469,9
