iteration,numProc,time,id
1,1,90540181,0
1,1,90241855,0
1,1,90407909,0
1,1,90678239,0
1,1,96104913,0
1,1,94614757,0
1,1,97501547,0
1,1,101030110,0
1,1,103550064,0
1,1,106640702,0
2,1,89082738,0
2,1,89161820,0
2,1,90293148,0
2,1,91846238,0
2,1,95648304,0
2,1,93565388,0
2,1,95484021,0
2,1,101022206,0
2,1,103853808,0
2,1,106408834,0
3,1,88962518,0
3,1,89188509,0
3,1,90426806,0
3,1,91013843,0
3,1,95345680,0
3,1,94824536,0
3,1,96532783,0
3,1,101901091,0
3,1,102555103,0
3,1,105275502,0
1,2,45654665,1
1,2,45902795,0
1,2,45935235,1
1,2,45961347,0
1,2,45730423,0
1,2,46021876,1
1,2,45413675,0
1,2,46346172,1
1,2,46251560,0
1,2,49315997,1
1,2,45601708,0
1,2,47548103,1
1,2,45940051,0
1,2,48487029,1
1,2,49052524,0
1,2,52845376,1
1,2,48330824,0
1,2,53481647,1
1,2,49433930,0
1,2,56370162,1
2,2,45977836,1
2,2,46163337,0
2,2,46009045,1
2,2,46081162,0
2,2,46435902,0
2,2,46619292,1
2,2,46620545,0
2,2,47282665,1
2,2,47639823,0
2,2,50277087,1
2,2,47381429,0
2,2,49301081,1
2,2,47809788,0
2,2,50634839,1
2,2,49694604,0
2,2,53583549,1
2,2,49377424,0
2,2,55368653,1
2,2,50389443,0
2,2,57117310,1
3,2,45911798,0
3,2,46011094,1
3,2,45858389,0
3,2,46164924,1
3,2,46156031,0
3,2,46546110,1
3,2,46443818,0
3,2,47547521,1
3,2,46840900,0
3,2,50072261,1
3,2,46430982,0
3,2,49060479,1
3,2,47245873,0
3,2,50864172,1
3,2,49836316,0
3,2,54443586,1
3,2,49074618,0
3,2,55526411,1
3,2,50452377,0
3,2,57782291,1
1,4,22460593,3
1,4,22476475,1
1,4,22656066,0
1,4,23102263,2
1,4,22604588,1
1,4,22657798,3
1,4,22822837,0
1,4,23234730,2
1,4,22710405,1
1,4,22822446,0
1,4,22889424,3
1,4,23350830,2
1,4,22725621,0
1,4,23125027,1
1,4,23495273,2
1,4,23499588,3
1,4,22859718,0
1,4,24047253,1
1,4,24632411,2
1,4,25548314,3
1,4,23061399,0
1,4,23801274,1
1,4,24501816,2
1,4,24966461,3
1,4,22849168,0
1,4,24616843,1
1,4,24652323,2
1,4,26238585,3
1,4,23893288,0
1,4,26423762,1
1,4,26458969,2
1,4,28833067,3
1,4,23162748,0
1,4,26349868,2
1,4,26532829,1
1,4,29792934,3
1,4,23311411,0
1,4,26936768,1
1,4,27380724,2
1,4,30707667,3
2,4,22416359,3
2,4,22549850,1
2,4,22856907,0
2,4,22972751,2
2,4,22544066,3
2,4,22678835,1
2,4,22934860,0
2,4,22995789,2
2,4,22456568,3
2,4,22471768,1
2,4,23118627,0
2,4,23426539,2
2,4,22744430,1
2,4,22990427,3
2,4,23051353,0
2,4,23584263,2
2,4,23150110,0
2,4,23853399,1
2,4,24693592,2
2,4,25004870,3
2,4,23204648,0
2,4,23610434,1
2,4,24443924,2
2,4,24526644,3
2,4,23327389,0
2,4,23988611,1
2,4,24945293,2
2,4,25395049,3
2,4,24064997,0
2,4,25407889,1
2,4,26551827,2
2,4,27773612,3
2,4,23607478,0
2,4,25598941,1
2,4,26642804,2
2,4,28573090,3
2,4,23693291,0
2,4,26615814,1
2,4,27496268,2
2,4,30055543,3
3,4,22265164,1
3,4,22277837,3
3,4,23103449,2
3,4,23115750,0
3,4,22296579,1
3,4,22374856,3
3,4,23067962,2
3,4,23072862,0
3,4,22423196,1
3,4,22654746,3
3,4,23091544,0
3,4,23315540,2
3,4,22672701,1
3,4,22997543,0
3,4,23114018,3
3,4,23524316,2
3,4,23139253,0
3,4,23719743,1
3,4,24520402,2
3,4,25211186,3
3,4,23225823,0
3,4,23532798,1
3,4,24367544,2
3,4,24734567,3
3,4,23283244,0
3,4,24042061,1
3,4,24798133,2
3,4,25703260,3
3,4,24085813,0
3,4,25434045,1
3,4,26508077,2
3,4,27930421,3
3,4,23651044,0
3,4,25621419,1
3,4,26724404,2
3,4,28734762,3
3,4,23624538,0
3,4,26522361,1
3,4,27480636,2
3,4,30119365,3
1,8,10647785,1
1,8,10683144,3
1,8,11009666,7
1,8,11229068,2
1,8,11312462,0
1,8,11509073,6
1,8,11759061,5
1,8,12061779,4
1,8,9577449,4
1,8,10431830,2
1,8,11317000,5
1,8,11588586,1
1,8,11861220,6
1,8,12062905,0
1,8,12209890,3
1,8,12368328,7
1,8,10248241,3
1,8,10522605,5
1,8,11053380,1
1,8,11237032,6
1,8,11561677,7
1,8,12075557,4
1,8,12484523,2
1,8,13204426,0
1,8,9726137,4
1,8,10506407,2
1,8,11460599,6
1,8,11642217,0
1,8,11750877,1
1,8,11909378,5
1,8,12371396,3
1,8,12392126,7
1,8,10802455,3
1,8,11021483,5
1,8,11966814,1
1,8,12356243,4
1,8,13106458,0
1,8,13296579,6
1,8,13464814,7
1,8,13852232,2
1,8,10616843,4
1,8,11826533,2
1,8,12595788,0
1,8,12606738,1
1,8,12712731,5
1,8,12997015,6
1,8,13358592,3
1,8,13856096,7
1,8,11373670,5
1,8,11388897,3
1,8,12119980,1
1,8,12578526,4
1,8,12973250,0
1,8,13318819,6
1,8,13346030,2
1,8,13908005,7
1,8,10650712,4
1,8,12090460,2
1,8,12814566,0
1,8,13398465,1
1,8,13693007,6
1,8,14029483,5
1,8,14760588,3
1,8,15779411,7
1,8,12088253,5
1,8,12373196,4
1,8,12601249,3
1,8,12867772,0
1,8,13011824,1
1,8,14245311,6
1,8,14615318,2
1,8,15674662,7
1,8,9991089,4
1,8,11620303,2
1,8,12075045,0
1,8,13658617,1
1,8,13750847,6
1,8,14494116,5
1,8,15686826,3
1,8,16853405,7
2,8,10827291,3
2,8,10873732,1
2,8,11091459,0
2,8,11110307,7
2,8,11164859,5
2,8,11243486,2
2,8,11994441,6
2,8,12049900,4
2,8,9824864,4
2,8,10549818,2
2,8,11518940,6
2,8,11735999,0
2,8,11979863,3
2,8,12008836,1
2,8,12391157,7
2,8,12485626,5
2,8,9773203,3
2,8,10369176,5
2,8,11451593,6
2,8,11565483,1
2,8,12066145,7
2,8,12099376,2
2,8,12168977,4
2,8,12951073,0
2,8,10103121,4
2,8,10635454,2
2,8,11718526,6
2,8,11946538,1
2,8,12180047,0
2,8,12265784,5
2,8,12329453,3
2,8,12737400,7
2,8,10922179,3
2,8,11130758,5
2,8,12102710,1
2,8,12323420,4
2,8,12440460,0
2,8,13207855,6
2,8,13256390,2
2,8,13342510,7
2,8,10873811,4
2,8,11626731,2
2,8,12480787,1
2,8,12706066,0
2,8,12776062,5
2,8,12829313,3
2,8,12973854,6
2,8,13291072,7
2,8,11202053,3
2,8,11271217,5
2,8,11980985,4
2,8,12273593,1
2,8,12575991,0
2,8,12794604,6
2,8,13160423,2
2,8,13756374,7
2,8,10447760,4
2,8,11504458,2
2,8,12474596,0
2,8,12987429,6
2,8,13564780,1
2,8,14184732,5
2,8,14709044,3
2,8,15816167,7
2,8,11866233,5
2,8,12474043,3
2,8,12789939,4
2,8,13084745,1
2,8,13155669,0
2,8,14273120,6
2,8,14764765,2
2,8,15514066,7
2,8,9887825,4
2,8,11391240,2
2,8,11735732,0
2,8,13407992,6
2,8,14564917,1
2,8,15115002,5
2,8,16432333,3
2,8,16908776,7
3,8,11479256,5
3,8,11563554,7
3,8,11717770,6
3,8,11953737,4
3,8,12069312,2
3,8,12206595,0
3,8,12523093,3
3,8,12601563,1
3,8,9767378,3
3,8,10450560,5
3,8,11283706,1
3,8,11716235,6
3,8,11810958,7
3,8,11931620,4
3,8,12110284,2
3,8,12562840,0
3,8,9661155,4
3,8,10451113,2
3,8,11639705,1
3,8,11740507,6
3,8,11899842,0
3,8,12016920,3
3,8,12386870,5
3,8,12894151,7
3,8,10216226,3
3,8,10633102,5
3,8,11744576,1
3,8,12270572,7
3,8,12307462,6
3,8,12625311,2
3,8,12756692,4
3,8,13462215,0
3,8,10168516,4
3,8,10962065,2
3,8,12312132,0
3,8,12361631,6
3,8,12813236,1
3,8,13119413,3
3,8,13361770,5
3,8,13970116,7
3,8,10632065,5
3,8,10665168,3
3,8,12064359,1
3,8,12089325,4
3,8,12809153,6
3,8,12945832,0
3,8,13148703,7
3,8,13446975,2
3,8,10116802,4
3,8,10610776,2
3,8,12309992,0
3,8,12396058,6
3,8,13057331,1
3,8,13289026,3
3,8,13320634,5
3,8,14064667,7
3,8,11706543,5
3,8,12188139,3
3,8,12603642,4
3,8,13230934,1
3,8,13379813,0
3,8,14516767,7
3,8,14821788,6
3,8,15004165,2
3,8,10611203,4
3,8,11720381,2
3,8,12321638,0
3,8,13566310,6
3,8,13712938,1
3,8,14159750,5
3,8,15241289,3
3,8,16686105,7
3,8,12065660,4
3,8,12215312,5
3,8,13077501,0
3,8,13362642,3
3,8,13794656,1
3,8,14778047,6
3,8,15302473,2
3,8,16098432,7
1,16,5552774,13
1,16,5625986,15
1,16,5811566,9
1,16,5845431,5
1,16,5846556,11
1,16,5910609,0
1,16,6095485,1
1,16,6115029,2
1,16,6121619,10
1,16,6176325,7
1,16,6229098,8
1,16,6267504,6
1,16,6284409,3
1,16,6298007,4
1,16,6351291,12
1,16,6788943,14
1,16,5999026,15
1,16,6044602,7
1,16,6218505,1
1,16,6249083,5
1,16,6277806,11
1,16,6452010,0
1,16,6500715,9
1,16,6812345,14
1,16,6837971,4
1,16,6884522,3
1,16,6979860,6
1,16,6985901,13
1,16,7063658,8
1,16,7460498,10
1,16,7536280,2
1,16,7601375,12
1,16,5972094,9
1,16,5985612,13
1,16,6064374,11
1,16,6201091,1
1,16,6280008,5
1,16,6308174,3
1,16,6450982,14
1,16,6461948,7
1,16,6465168,15
1,16,6476603,10
1,16,6560658,6
1,16,6797293,0
1,16,6824135,2
1,16,6988025,12
1,16,7153131,4
1,16,7283902,8
1,16,6264247,6
1,16,6382139,13
1,16,6409771,8
1,16,6460057,3
1,16,6505606,10
1,16,6554496,11
1,16,6562341,4
1,16,6579027,12
1,16,6641403,0
1,16,6645635,1
1,16,6671887,14
1,16,6676422,9
1,16,6677393,5
1,16,6903180,15
1,16,6930448,2
1,16,7423538,7
1,16,6232197,1
1,16,6313326,9
1,16,6510686,5
1,16,6603574,13
1,16,6858749,7
1,16,6910327,0
1,16,7063955,3
1,16,7087762,15
1,16,7256718,11
1,16,7318071,2
1,16,7412763,4
1,16,7500330,10
1,16,7537753,8
1,16,7723212,14
1,16,7925940,6
1,16,8217811,12
1,16,6134441,13
1,16,6232419,1
1,16,6341887,5
1,16,6649214,3
1,16,6711337,7
1,16,6715024,8
1,16,6787600,12
1,16,6813671,9
1,16,6833877,11
1,16,6956615,6
1,16,6990803,2
1,16,7092548,4
1,16,7315520,15
1,16,7335172,10
1,16,7467616,0
1,16,7950062,14
1,16,6346735,5
1,16,6411514,7
1,16,6553460,9
1,16,6589940,8
1,16,6777878,1
1,16,6812848,3
1,16,6876707,15
1,16,6883743,13
1,16,6917843,6
1,16,7038314,12
1,16,7132591,10
1,16,7192925,11
1,16,7395643,14
1,16,7419926,4
1,16,7580363,2
1,16,8072422,0
1,16,6494404,13
1,16,6595165,5
1,16,6757304,12
1,16,6802244,0
1,16,6812589,8
1,16,6921193,4
1,16,7005205,3
1,16,7043382,1
1,16,7203391,7
1,16,7477700,9
1,16,7592243,6
1,16,7752709,15
1,16,7790265,11
1,16,7931122,10
1,16,8366541,2
1,16,8439947,14
1,16,6689227,8
1,16,6987789,0
1,16,7101775,4
1,16,7548071,13
1,16,7633033,12
1,16,7695711,10
1,16,7824983,9
1,16,7985924,2
1,16,8142360,6
1,16,8302343,5
1,16,8335161,7
1,16,8560680,1
1,16,8916596,14
1,16,8988926,3
1,16,9028030,15
1,16,9562823,11
1,16,5868474,8
1,16,5869039,12
1,16,6555521,1
1,16,6644147,4
1,16,6836068,9
1,16,6969974,0
1,16,7166739,14
1,16,7448597,5
1,16,7776100,3
1,16,7931305,6
1,16,7956097,10
1,16,8075667,13
1,16,8102726,7
1,16,8155420,2
1,16,8358152,15
1,16,8478241,11
2,16,5540902,15
2,16,5587628,7
2,16,5615048,5
2,16,5640071,11
2,16,5958039,9
2,16,5980446,13
2,16,6087878,10
2,16,6129111,1
2,16,6277615,0
2,16,6445226,3
2,16,6479988,6
2,16,7004638,14
2,16,7073934,4
2,16,7138454,8
2,16,7261907,2
2,16,8138473,12
2,16,5946457,13
2,16,6017685,15
2,16,6074912,3
2,16,6212611,7
2,16,6241622,11
2,16,6264995,5
2,16,6410224,1
2,16,6497882,2
2,16,6682726,9
2,16,6799917,0
2,16,6814401,4
2,16,6902829,6
2,16,7180113,14
2,16,7220271,8
2,16,7361465,10
2,16,7684523,12
2,16,5812567,7
2,16,6118256,5
2,16,6151959,1
2,16,6177365,15
2,16,6328862,9
2,16,6465573,11
2,16,6636763,13
2,16,6688344,3
2,16,6707266,14
2,16,6769833,8
2,16,6918099,4
2,16,6927859,12
2,16,7038317,0
2,16,7133700,10
2,16,7217687,2
2,16,7392195,6
2,16,6096049,11
2,16,6345518,5
2,16,6378531,7
2,16,6480070,3
2,16,6480387,9
2,16,6521504,15
2,16,6596396,1
2,16,6802537,6
2,16,6817648,13
2,16,6871252,14
2,16,6904799,12
2,16,7152233,8
2,16,7216149,4
2,16,7256189,0
2,16,7344161,10
2,16,7392570,2
2,16,7055483,8
2,16,7438629,11
2,16,7750789,14
2,16,7808298,13
2,16,7938186,7
2,16,8163482,9
2,16,8408584,10
2,16,8409592,2
2,16,8495189,5
2,16,8528990,15
2,16,8735168,1
2,16,8773054,4
2,16,8933815,6
2,16,8984539,3
2,16,9156057,0
2,16,9323753,12
2,16,6554967,13
2,16,6560824,9
2,16,6594896,5
2,16,6626232,1
2,16,6777251,11
2,16,6891918,7
2,16,6914289,3
2,16,7317987,15
2,16,7789321,0
2,16,7867762,12
2,16,7895741,14
2,16,8086247,4
2,16,8208395,6
2,16,8230745,2
2,16,8239797,8
2,16,8725376,10
2,16,7234898,8
2,16,7317368,1
2,16,7703608,13
2,16,7828069,5
2,16,7960051,14
2,16,8004704,3
2,16,8126802,0
2,16,8293376,10
2,16,8632591,12
2,16,8912951,9
2,16,9055922,4
2,16,9103147,6
2,16,9296269,11
2,16,9392836,7
2,16,9399768,2
2,16,9566632,15
2,16,7339569,0
2,16,7436199,5
2,16,7454651,12
2,16,7464740,8
2,16,7510659,4
2,16,7941197,9
2,16,8040366,1
2,16,8107689,14
2,16,8380140,2
2,16,8447482,10
2,16,8502908,6
2,16,8948178,13
2,16,9338135,7
2,16,9391799,3
2,16,10000893,15
2,16,10209998,11
2,16,6569610,12
2,16,6696349,8
2,16,7316448,4
2,16,7722883,13
2,16,7873825,9
2,16,7898020,5
2,16,8263243,6
2,16,8352843,2
2,16,8480169,11
2,16,8538282,1
2,16,8908632,15
2,16,8932851,7
2,16,9000325,0
2,16,9246225,14
2,16,9597700,3
2,16,10233219,10
2,16,6617715,0
2,16,6658691,4
2,16,6817727,12
2,16,7055687,1
2,16,7218936,8
2,16,7400044,5
2,16,7458993,9
2,16,7798662,2
2,16,7914174,13
2,16,8282095,14
2,16,8456998,11
2,16,8519796,3
2,16,8603059,6
2,16,8809003,15
2,16,8814481,7
2,16,9051259,10
3,16,6972433,11
3,16,7069877,9
3,16,7229733,15
3,16,7316338,0
3,16,7388951,7
3,16,7511646,5
3,16,7512477,13
3,16,7655846,1
3,16,7676037,2
3,16,7781089,4
3,16,7844179,6
3,16,7846368,14
3,16,7861703,10
3,16,7893171,3
3,16,8142952,8
3,16,8445303,12
3,16,7457970,5
3,16,7774728,1
3,16,7859653,13
3,16,8084194,10
3,16,8127896,9
3,16,8130403,15
3,16,8408033,12
3,16,8439163,8
3,16,8473109,11
3,16,8563074,7
3,16,8648281,0
3,16,8860863,4
3,16,8958378,3
3,16,9013893,14
3,16,9026315,2
3,16,9199329,6
3,16,6843475,3
3,16,7415918,1
3,16,7632022,5
3,16,7747303,7
3,16,7785911,14
3,16,8113444,6
3,16,8162410,8
3,16,8177260,9
3,16,8294137,2
3,16,8307743,13
3,16,8334027,10
3,16,8346156,12
3,16,8361503,15
3,16,8434847,11
3,16,8675066,0
3,16,9315056,4
3,16,5885187,13
3,16,5920915,9
3,16,6122629,7
3,16,6149238,5
3,16,6260475,15
3,16,6338624,3
3,16,6466532,11
3,16,6479867,1
3,16,6713460,8
3,16,7082841,12
3,16,7243416,14
3,16,7648850,4
3,16,7879606,6
3,16,7915630,10
3,16,7954858,2
3,16,8143572,0
3,16,5993482,5
3,16,6347452,1
3,16,6577547,13
3,16,6642510,9
3,16,6679020,3
3,16,6689291,15
3,16,6750560,7
3,16,6823274,11
3,16,6885962,6
3,16,7021767,0
3,16,7026962,12
3,16,7195475,2
3,16,7259775,4
3,16,7330969,8
3,16,7471234,14
3,16,7610135,10
3,16,6218726,13
3,16,6687388,5
3,16,6762888,9
3,16,6789684,7
3,16,6939574,8
3,16,7074317,1
3,16,7155952,6
3,16,7175428,4
3,16,7189852,2
3,16,7193538,3
3,16,7318941,15
3,16,7320065,11
3,16,7625850,12
3,16,7691185,0
3,16,8169110,14
3,16,8501998,10
3,16,6224205,1
3,16,6296029,12
3,16,6451955,5
3,16,6690208,7
3,16,6858501,15
3,16,6977470,9
3,16,7199215,11
3,16,7227223,8
3,16,7297354,14
3,16,7299122,3
3,16,7411141,13
3,16,7552003,2
3,16,7559033,10
3,16,7692535,4
3,16,7729394,6
3,16,8135643,0
3,16,7640916,6
3,16,7676040,0
3,16,7969396,2
3,16,8027512,4
3,16,8140251,9
3,16,8309710,1
3,16,8500397,7
3,16,8573079,11
3,16,8753348,10
3,16,8839017,13
3,16,9010261,14
3,16,9075542,5
3,16,9223152,8
3,16,9582166,3
3,16,9644877,12
3,16,10264915,15
3,16,6100219,4
3,16,6420873,12
3,16,6962761,8
3,16,7030668,13
3,16,7095205,0
3,16,7385202,14
3,16,7445630,9
3,16,7641850,1
3,16,7699407,2
3,16,7763681,5
3,16,7780632,10
3,16,8320617,7
3,16,8562760,6
3,16,8702876,15
3,16,8828344,3
3,16,9104835,11
3,16,7116361,1
3,16,7558079,4
3,16,7787251,6
3,16,7831470,9
3,16,7884707,0
3,16,7962164,8
3,16,8372574,13
3,16,8475966,5
3,16,8701172,7
3,16,8703708,10
3,16,8814372,12
3,16,8992129,3
3,16,8993479,15
3,16,9067088,11
3,16,9089250,14
3,16,9154759,2
1,32,4787391,11
1,32,4943258,23
1,32,5033473,0
1,32,5083063,30
1,32,5099513,4
1,32,5141931,26
1,32,5165201,31
1,32,5198782,9
1,32,5227362,22
1,32,5256648,1
1,32,5282875,21
1,32,5343965,24
1,32,5422995,17
1,32,5459712,10
1,32,5514979,29
1,32,5548943,3
1,32,5577300,5
1,32,5688736,2
1,32,5708711,8
1,32,5709740,28
1,32,5791572,7
1,32,5819841,16
1,32,5832558,14
1,32,5877720,6
1,32,5921160,15
1,32,5949850,19
1,32,5986799,18
1,32,6016142,20
1,32,6270302,27
1,32,6354430,12
1,32,6445925,13
1,32,6727450,25
1,32,5541830,5
1,32,5748895,29
1,32,5781138,13
1,32,5781347,15
1,32,5782020,31
1,32,5901193,4
1,32,5917661,25
1,32,5917998,9
1,32,5924716,21
1,32,5957197,18
1,32,5978934,0
1,32,5987585,16
1,32,6020498,6
1,32,6079196,12
1,32,6203310,2
1,32,6203479,22
1,32,6242704,1
1,32,6317142,19
1,32,6359302,10
1,32,6354036,7
1,32,6397975,23
1,32,6435457,24
1,32,6467820,11
1,32,6526299,26
1,32,6577648,17
1,32,6595556,27
1,32,6639134,30
1,32,6659177,28
1,32,6671540,8
1,32,6687967,20
1,32,6713347,14
1,32,6946954,3
1,32,5417708,22
1,32,5873203,3
1,32,5887378,7
1,32,5889844,14
1,32,5892690,19
1,32,6010205,6
1,32,6067734,29
1,32,6080371,12
1,32,6156091,30
1,32,6221582,5
1,32,6223331,23
1,32,6249365,9
1,32,6268760,28
1,32,6331556,25
1,32,6378091,20
1,32,6379501,31
1,32,6404564,13
1,32,6421461,24
1,32,6435684,1
1,32,6445393,26
1,32,6462717,17
1,32,6500740,21
1,32,6525792,11
1,32,6539937,2
1,32,6541253,16
1,32,6558952,4
1,32,6579748,18
1,32,6631185,0
1,32,6701946,15
1,32,6716073,8
1,32,6722275,10
1,32,6727261,27
1,32,5498332,28
1,32,5585711,17
1,32,5885162,9
1,32,5908501,16
1,32,5957759,15
1,32,6002983,19
1,32,6004560,12
1,32,6053607,4
1,32,6057787,10
1,32,6074086,13
1,32,6096725,8
1,32,6113139,27
1,32,6147370,20
1,32,6153774,29
1,32,6163001,11
1,32,6241790,6
1,32,6263468,0
1,32,6278248,5
1,32,6342905,25
1,32,6363925,22
1,32,6385251,2
1,32,6420416,21
1,32,6466200,31
1,32,6480014,18
1,32,6491257,1
1,32,6543709,23
1,32,6628267,7
1,32,6629463,26
1,32,6633707,14
1,32,6660742,3
1,32,6669604,30
1,32,6764442,24
1,32,5639209,12
1,32,5784772,18
1,32,5905668,28
1,32,5933082,16
1,32,5986221,30
1,32,6124209,6
1,32,6143968,24
1,32,6163440,22
1,32,6164534,2
1,32,6249619,14
1,32,6253500,0
1,32,6281239,5
1,32,6297618,25
1,32,6357465,8
1,32,6390150,23
1,32,6396781,20
1,32,6426040,26
1,32,6428300,17
1,32,6475780,31
1,32,6578566,21
1,32,6608586,1
1,32,6661819,3
1,32,6825294,13
1,32,6840538,9
1,32,6841103,4
1,32,6876131,7
1,32,7019143,10
1,32,7021293,15
1,32,7036556,19
1,32,7157097,29
1,32,7293341,27
1,32,7317009,11
1,32,5536921,12
1,32,5671807,21
1,32,5932481,6
1,32,6062567,3
1,32,6090371,8
1,32,6242669,18
1,32,6247014,4
1,32,6253838,23
1,32,6265302,13
1,32,6325273,5
1,32,6325367,1
1,32,6356418,19
1,32,6393182,29
1,32,6400163,16
1,32,6464353,7
1,32,6475846,2
1,32,6481137,17
1,32,6482568,24
1,32,6591461,22
1,32,6592648,10
1,32,6600177,25
1,32,6606676,14
1,32,6728216,20
1,32,6758793,27
1,32,6772025,9
1,32,6858623,15
1,32,7000682,31
1,32,7006150,28
1,32,7023317,26
1,32,7141587,30
1,32,7159331,0
1,32,7172714,11
1,32,5668313,12
1,32,5877741,14
1,32,6040438,6
1,32,6116024,8
1,32,6122846,24
1,32,6144730,4
1,32,6151002,3
1,32,6227225,16
1,32,6237529,7
1,32,6257265,29
1,32,6294089,30
1,32,6310755,15
1,32,6338456,20
1,32,6369697,26
1,32,6417439,9
1,32,6449803,22
1,32,6457450,31
1,32,6472981,25
1,32,6494723,21
1,32,6527268,19
1,32,6614982,5
1,32,6692481,10
