iteration,processorCount,time
1,1,893287511
2,1,901990346
3,1,889010165
1,2,469824642
1,2,469824639
2,2,473722536
2,2,473722539
3,2,469804249
3,2,469804249
1,4,240422234
1,4,240415152
1,4,240428681
1,4,240415161
2,4,243674728
2,4,243689315
2,4,243674718
2,4,243682923
3,4,240825439
3,4,240811763
3,4,240811750
3,4,240818838
1,8,129442436
1,8,129428980
1,8,129445838
1,8,129439078
1,8,129425603
1,8,129435775
1,8,129425608
1,8,129432327
2,8,128629224
2,8,128645709
2,8,128639113
2,8,128649099
2,8,128632521
2,8,128629223
2,8,128635790
2,8,128642401
3,8,128941759
3,8,128944900
3,8,128934840
3,8,128934830
3,8,128938772
3,8,128947920
3,8,128951164
3,8,128954315
1,16,82520167
1,16,82528890
1,16,82521925
1,16,82525441
1,16,82532900
1,16,82508868
1,16,82510392
1,16,82518421
1,16,82527245
1,16,82531038
1,16,82511954
1,16,82513693
1,16,82508860
1,16,82523896
1,16,82516849
1,16,82515167
2,16,84448018
2,16,84440737
2,16,84457012
2,16,84453424
2,16,84433455
2,16,84446272
2,16,84451596
2,16,84438990
2,16,84435438
2,16,84444434
2,16,84449849
2,16,84458893
2,16,84433455
2,16,84455174
2,16,84442695
2,16,84437168
3,16,82268543
3,16,82276699
3,16,82273184
3,16,82270047
3,16,82271647
3,16,82275209
3,16,82279793
3,16,82257194
3,16,82265237
3,16,82260227
3,16,82278301
3,16,82257196
3,16,82262247
3,16,82263735
3,16,82258778
3,16,82266984
1,32,77546004
1,32,77560473
1,32,77556117
1,32,77554956
1,32,77570143
1,32,77542738
1,32,77551660
1,32,77559338
1,32,77542735
1,32,77569065
1,32,77552773
1,32,77563647
1,32,77575597
1,32,77547069
1,32,77567970
1,32,77574483
1,32,77550409
1,32,77576691
1,32,77564818
1,32,77566009
1,32,77543807
1,32,77557235
1,32,77561545
1,32,77548336
1,32,77554467
1,32,77567578
1,32,77578420
1,32,77558920
1,32,77545536
1,32,77549960
1,32,77563217
1,32,77573990
2,32,81999805
2,32,82031871
2,32,82010657
2,32,82012890
2,32,82004049
2,32,81994313
2,32,82014070
2,32,81991969
2,32,82009543
2,32,82007462
2,32,82016301
2,32,82008528
2,32,81990842
2,32,82000811
2,32,81988591
2,32,81985905
2,32,82018492
2,32,81997595
2,32,81996539
2,32,81993163
2,32,81995429
2,32,81989690
2,32,82015229
2,32,82003035
2,32,82011817
2,32,82005246
2,32,82006439
2,32,81985897
2,32,81987544
2,32,82017442
2,32,81998639
2,32,82001916
3,32,79582328
3,32,79567044
3,32,79559810
3,32,79564382
3,32,79551310
3,32,79550181
3,32,79553387
3,32,79543430
3,32,79554450
3,32,79545628
3,32,79546783
3,32,79558730
3,32,79579781
3,32,79560927
3,32,79552356
3,32,79565534
3,32,79556650
3,32,79555601
3,32,79544541
3,32,79541278
3,32,79558019
3,32,79583460
3,32,79562059
3,32,79549291
3,32,79581244
3,32,79541605
3,32,79570876
3,32,79569033
3,32,79567894
3,32,79563332
3,32,79542343
3,32,79547890
